0|Token.Literal.String.Affix|'r'
1|Token.Literal.String.Doc|'"""\n'
5|Token.Generic.Heading|'Preamble:\n'
15|Token.Literal.String.Doc|'\t'
16|Token.Generic.Subheading|'profile:'
24|Token.Literal.String.Doc|'\n'
25|Token.Literal.String.Doc|'\t\t'
27|Token.Name.Constant|'module'
33|Token.Literal.String.Doc|'\n'
34|Token.Literal.String.Doc|'\t'
35|Token.Generic.Subheading|'scope:'
41|Token.Literal.String.Doc|'\n'
42|Token.Literal.String.Doc|'\t\t'
44|Token.Name.Constant|'core'
48|Token.Literal.String.Doc|','
49|Token.Literal.String.Doc|' '
50|Token.Name.Constant|'nonexistent'
61|Token.Literal.String.Doc|'\n'
62|Token.Literal.String.Doc|'\t'
63|Token.Generic.Subheading|'status:'
70|Token.Literal.String.Doc|'\n'
71|Token.Literal.String.Doc|'\t\t'
73|Token.Name.Constant|'frozen'
79|Token.Literal.String.Doc|'\n'
80|Token.Literal.String.Doc|'\t'
81|Token.Generic.Subheading|'normative_sections:'
100|Token.Literal.String.Doc|'\n'
101|Token.Literal.String.Doc|'\t\t'
103|Token.Name.Constant|'Contract'
111|Token.Literal.String.Doc|','
112|Token.Literal.String.Doc|' '
113|Token.Name.Constant|'Definitions'
124|Token.Literal.String.Doc|','
125|Token.Literal.String.Doc|' '
126|Token.Name.Constant|'Parameters'
136|Token.Literal.String.Doc|','
137|Token.Literal.String.Doc|' '
138|Token.Error|'BadSection'
148|Token.Literal.String.Doc|','
149|Token.Literal.String.Doc|' '
150|Token.Name.Constant|'See_also'
158|Token.Literal.String.Doc|'\n'
159|Token.Literal.String.Doc|'\t'
160|Token.Error|'bad_subsection:'
175|Token.Literal.String.Doc|'\n'
176|Token.Literal.String.Doc|'\t\tContent\n'
186|Token.Generic.Heading|'Definitions:\n'
199|Token.Literal.String.Doc|'\t'
200|Token.Generic.Emph|'Identifier:'
211|Token.Literal.String.Doc|'\n'
212|Token.Literal.String.Doc|'\t\tA string matching the regex '
242|Token.Keyword|'|lit|'
247|Token.Literal|'`[a-zA-Z_][a-zA-Z0-9_]*`'
271|Token.Literal.String.Doc|'.\n'
273|Token.Literal.String.Doc|'\t'
274|Token.Keyword|'_inherit:'
283|Token.Literal.String.Doc|'\n'
284|Token.Literal.String.Doc|'\t\tTerm_A, Term_B\n'
301|Token.Literal.String.Doc|'\tbad term\n'
311|Token.Literal.String.Doc|"\t\tbad because colon is missing and it doesn't follow the identifier format.\n"
387|Token.Generic.Heading|'Terminology:\n'
400|Token.Literal.String.Doc|'\t'
401|Token.Generic.Emph|'Un!corn:'
409|Token.Literal.String.Doc|'\n'
410|Token.Literal.String.Doc|'\t\tFancy animal. Test roles: '
438|Token.Keyword|'|mod|'
443|Token.Name.Namespace|'`ABC`'
448|Token.Literal.String.Doc|'\n'
449|Token.Generic.Emph|'Bad Section:'
461|Token.Literal.String.Doc|'\n'
462|Token.Literal.String.Doc|'\tAll sections are predefined, and "Bad Section" is not one of them.\n'
530|Token.Generic.Heading|'Contract:\n'
540|Token.Literal.String.Doc|'\t'
541|Token.Generic.Subheading|'general:'
549|Token.Literal.String.Doc|'\n'
550|Token.Literal.String.Doc|'\t\t'
552|Token.Keyword|'|Must|'
558|Token.Literal.String.Doc|' do this and that. Test roles: '
589|Token.Keyword|'|term|'
595|Token.Generic.Emph|'`ABC`'
600|Token.Literal.String.Doc|'\n'
601|Token.Literal.String.Doc|'\t\t'
603|Token.Keyword|'|Should_not|'
615|Token.Literal.String.Doc|' do other things. Test roles: '
645|Token.Keyword|'|term|'
651|Token.Generic.Emph|'`ABC`'
656|Token.Literal.String.Doc|'\n'
657|Token.Literal.String.Doc|'\t\t'
659|Token.Keyword|'|ref|'
664|Token.Literal.String|'`'
665|Token.Name.Namespace|'label'
670|Token.Literal.String|' <'
672|Token.Name.Tag|'target_in_rst'
685|Token.Literal.String|'>`'
687|Token.Literal.String.Doc|'\n'
688|Token.Literal.String.Doc|'\t\t'
690|Token.Keyword|'|ref|'
695|Token.Literal.String|'`'
696|Token.Name.Namespace|'label'
701|Token.Literal.String|' <'
703|Token.Name.Tag|'wtrl://qi.of.documented.object'
733|Token.Literal.String|'>`'
735|Token.Literal.String.Doc|'\n'
736|Token.Literal.String.Doc|'\t\t'
738|Token.Keyword|'|ref|'
743|Token.Literal.String|'`'
744|Token.Name.Namespace|'label'
749|Token.Literal.String|' <'
751|Token.Name.Tag|'https://link.com'
767|Token.Literal.String|'>`'
769|Token.Literal.String.Doc|'\n'
770|Token.Literal.String.Doc|'\t'
771|Token.Generic.Subheading|'constructor:'
783|Token.Literal.String.Doc|'\n'
784|Token.Literal.String.Doc|'\t\tdefault - this is freeform text describing the constructor contract. Test roles: '
867|Token.Keyword|'|func|'
873|Token.Name.Function|'`__init__`'
883|Token.Literal.String.Doc|'\n'
884|Token.Literal.String.Doc|'\t'
885|Token.Generic.Subheading|'requires:'
894|Token.Literal.String.Doc|'\n'
895|Token.Literal.String.Doc|'\t\t'
897|Token.Keyword|'|var|'
902|Token.Name.Variable|'`x`'
905|Token.Literal.String.Doc|' > 0. Test roles: '
923|Token.Keyword|'|var|'
928|Token.Name.Variable|'`x`'
931|Token.Literal.String.Doc|'\n'
932|Token.Literal.String.Doc|'\t'
933|Token.Generic.Subheading|'ensures:'
941|Token.Literal.String.Doc|'\n'
942|Token.Literal.String.Doc|'\t\tThe result is positive. Test roles: '
980|Token.Keyword|'|value|'
987|Token.Name.Constant|'`positive`'
997|Token.Literal.String.Doc|'\n'
998|Token.Literal.String.Doc|'\t'
999|Token.Generic.Subheading|'invariants:'
1010|Token.Literal.String.Doc|'\n'
1011|Token.Literal.String.Doc|'\t\tIdempotent. Test roles: '
1037|Token.Keyword|'|term|'
